instruction,response,product_name,total_price,price_per_unit,unit_value,unit
"What is the price per unit for Thick-It Original Concentrated Food & Beverage Thickener, 10 Oz Canister?","The price per unit for Thick-It Original Concentrated Food & Beverage Thickener, 10 Oz Canister is $1.250 per Ounce. The total price is $12.50 for 10.0 Ounce.","Thick-It Original Concentrated Food & Beverage Thickener, 10 Oz Canister",12.5,1.25,10.0,Ounce
What is the price per unit for Stash Tea Chai Spice Blend Decaf Tea ( 6x18 CT)?,The price per unit for Stash Tea Chai Spice Blend Decaf Tea ( 6x18 CT) is $0.389 per Count. The total price is $41.99 for 108.0 Count.,Stash Tea Chai Spice Blend Decaf Tea ( 6x18 CT),41.99,0.3888,108.0,Count
"What is the price per unit for Milton's Gourmet Crackers, Salt & Pepper - Non-GMO Project Verified, Natural Ingredients, Kosher, Great for Charcuterie Boards - 6.8 Oz, Pack of 3?","The price per unit for Milton's Gourmet Crackers, Salt & Pepper - Non-GMO Project Verified, Natural Ingredients, Kosher, Great for Charcuterie Boards - 6.8 Oz, Pack of 3 is $0.980 per Ounce. The total price is $19.99 for 20.4 Ounce.","Milton's Gourmet Crackers, Salt & Pepper - Non-GMO Project Verified, Natural Ingredients, Kosher, Great for Charcuterie Boards - 6.8 Oz, Pack of 3",19.99,0.9799,20.4,Ounce
"What is the price per unit for Sweetshop Rainbow Baking Chips 8oz, Rainbow Chips for Baking, Premium Baking Chips, Bake, Decorate, Create, Multi-Colored Baking Chips?","The price per unit for Sweetshop Rainbow Baking Chips 8oz, Rainbow Chips for Baking, Premium Baking Chips, Bake, Decorate, Create, Multi-Colored Baking Chips is $1.874 per Ounce. The total price is $14.99 for 8.0 Ounce.","Sweetshop Rainbow Baking Chips 8oz, Rainbow Chips for Baking, Premium Baking Chips, Bake, Decorate, Create, Multi-Colored Baking Chips",14.99,1.8738,8.0,Ounce
"What is the price per unit for VERMONT SMOKE BEEF REALSTICK BBQ ABF, Pack of 24?","The price per unit for VERMONT SMOKE BEEF REALSTICK BBQ ABF, Pack of 24 is $1.833 per Count. The total price is $43.99 for 24.0 Count.","VERMONT SMOKE BEEF REALSTICK BBQ ABF, Pack of 24",43.99,1.8329,24.0,Count
What is the price per unit for S&W Premium BLACK BEANS 15oz (3 Pack)?,The price per unit for S&W Premium BLACK BEANS 15oz (3 Pack) is $0.032 per Fl Oz. The total price is $1.42 for 45.0 Fl Oz.,S&W Premium BLACK BEANS 15oz (3 Pack),1.42,0.0316,45.0,Fl Oz
"What is the price per unit for Solo Polystyrene Portion Cups, Black,(10 in a case), 4 Ounce?","The price per unit for Solo Polystyrene Portion Cups, Black,(10 in a case), 4 Ounce is $17.390 per ounce. The total price is $69.56 for 4.0 ounce.","Solo Polystyrene Portion Cups, Black,(10 in a case), 4 Ounce",69.56,17.39,4.0,ounce
What is the price per unit for Pringles BBQ Potato Crisps 5.96 oz (Pack of 14)?,The price per unit for Pringles BBQ Potato Crisps 5.96 oz (Pack of 14) is $0.302 per Fl Oz. The total price is $25.18 for 83.4 Fl Oz.,Pringles BBQ Potato Crisps 5.96 oz (Pack of 14),25.18,0.3018,83.44,Fl Oz
"What is the price per unit for Dallis Bros. Coffee ""Red Den Blend"" Dark Roasted Fair Trade Organic Whole Bean Coffee - 12 Ounce Bag?","The price per unit for Dallis Bros. Coffee ""Red Den Blend"" Dark Roasted Fair Trade Organic Whole Bean Coffee - 12 Ounce Bag is $1.546 per Ounce. The total price is $18.55 for 12.0 Ounce.","Dallis Bros. Coffee ""Red Den Blend"" Dark Roasted Fair Trade Organic Whole Bean Coffee - 12 Ounce Bag",18.55,1.5458,12.0,Ounce
What is the price per unit for Lindt Lindor Dark Chocolate Truffles - 6oz?,The price per unit for Lindt Lindor Dark Chocolate Truffles - 6oz is $1.332 per Ounce. The total price is $7.99 for 6.0 Ounce.,Lindt Lindor Dark Chocolate Truffles - 6oz,7.99,1.3317,6.0,Ounce
"What is the price per unit for Knorr Rice Sides For a Tasty Rice Side Dish Garlic Parmesan No Artificial Flavors, No Preservatives, No Added MSG 5.2 oz?","The price per unit for Knorr Rice Sides For a Tasty Rice Side Dish Garlic Parmesan No Artificial Flavors, No Preservatives, No Added MSG 5.2 oz is $0.959 per Ounce. The total price is $4.99 for 5.2 Ounce.","Knorr Rice Sides For a Tasty Rice Side Dish Garlic Parmesan No Artificial Flavors, No Preservatives, No Added MSG 5.2 oz",4.99,0.9587,5.2,Ounce
"What is the price per unit for Gourmet Food Gifts Towers, Congratulations, Thank You Gift Baskets for Teachers, Parents, Family & Corporate Office Food Gifts Towers By Dulcet Gift Baskets?","The price per unit for Gourmet Food Gifts Towers, Congratulations, Thank You Gift Baskets for Teachers, Parents, Family & Corporate Office Food Gifts Towers By Dulcet Gift Baskets is $199.990 per Count. The total price is $199.99 for 1.0 Count.","Gourmet Food Gifts Towers, Congratulations, Thank You Gift Baskets for Teachers, Parents, Family & Corporate Office Food Gifts Towers By Dulcet Gift Baskets",199.99,199.99,1.0,Count
"What is the price per unit for Mount Hagen 3.53oz Organic Freeze Dried Instant Coffee | Eco-friendly, Fair-Trade Coffee Made From Organic Medium Roast Arabica Beans [3.53oz Jar]?","The price per unit for Mount Hagen 3.53oz Organic Freeze Dried Instant Coffee | Eco-friendly, Fair-Trade Coffee Made From Organic Medium Roast Arabica Beans [3.53oz Jar] is $3.945 per Ounce. The total price is $13.92 for 3.5 Ounce.","Mount Hagen 3.53oz Organic Freeze Dried Instant Coffee | Eco-friendly, Fair-Trade Coffee Made From Organic Medium Roast Arabica Beans [3.53oz Jar]",13.92,3.9448,3.53,Ounce
"What is the price per unit for MILTONS CRAFT BAKERS Cauliflower Crust Pepperoni Pizza, 10 OZ?","The price per unit for MILTONS CRAFT BAKERS Cauliflower Crust Pepperoni Pizza, 10 OZ is $0.979 per Ounce. The total price is $9.79 for 10.0 Ounce.","MILTONS CRAFT BAKERS Cauliflower Crust Pepperoni Pizza, 10 OZ",9.79,0.979,10.0,Ounce
"What is the price per unit for CORE Organic Tropical Coconut Fruit Infused Beverage, 16.9 fl oz bottle?","The price per unit for CORE Organic Tropical Coconut Fruit Infused Beverage, 16.9 fl oz bottle is $0.118 per Fl Oz. The total price is $1.99 for 16.9 Fl Oz.","CORE Organic Tropical Coconut Fruit Infused Beverage, 16.9 fl oz bottle",1.99,0.1178,16.9,Fl Oz
What is the price per unit for Throat Comfort Tea 16 Bags ( Value Bulk Multi-pack)?,The price per unit for Throat Comfort Tea 16 Bags ( Value Bulk Multi-pack) is $0.279 per Count. The total price is $4.46 for 16.0 Count.,Throat Comfort Tea 16 Bags ( Value Bulk Multi-pack),4.46,0.2788,16.0,Count
"What is the price per unit for Kauffman Orchards Instant Granulated Minute Tapioca In Bulk, 2 Lb.?","The price per unit for Kauffman Orchards Instant Granulated Minute Tapioca In Bulk, 2 Lb. is $0.687 per Ounce. The total price is $21.99 for 32.0 Ounce.","Kauffman Orchards Instant Granulated Minute Tapioca In Bulk, 2 Lb.",21.99,0.6872,32.0,Ounce
"What is the price per unit for Krusteaz Light & Crispy Belgian Waffle Mix - No Artificial Flavors, Colors, or Preservatives - 28 OZ (Pack of 2) (Packaging May Vary)?","The price per unit for Krusteaz Light & Crispy Belgian Waffle Mix - No Artificial Flavors, Colors, or Preservatives - 28 OZ (Pack of 2) (Packaging May Vary) is $0.107 per Ounce. The total price is $2.99 for 28.0 Ounce.","Krusteaz Light & Crispy Belgian Waffle Mix - No Artificial Flavors, Colors, or Preservatives - 28 OZ (Pack of 2) (Packaging May Vary)",2.99,0.1068,28.0,Ounce
"What is the price per unit for Spry Fresh Natural Xylitol Chewing Gum Dental Defense System - Aspartame-Free, Sugar-Free, Non-GMO, Gluten-Free (Spearmint, 550 Count - Pack of 1)?","The price per unit for Spry Fresh Natural Xylitol Chewing Gum Dental Defense System - Aspartame-Free, Sugar-Free, Non-GMO, Gluten-Free (Spearmint, 550 Count - Pack of 1) is $0.075 per Count. The total price is $41.09 for 550.0 Count.","Spry Fresh Natural Xylitol Chewing Gum Dental Defense System - Aspartame-Free, Sugar-Free, Non-GMO, Gluten-Free (Spearmint, 550 Count - Pack of 1)",41.09,0.0747,550.0,Count
"What is the price per unit for NEW Off The Eaten Path Veggie Crisps/Off The Eaten Chickpeas Made With Real Rice & Real Veggies - 6.25oz (Veggie, 2)?","The price per unit for NEW Off The Eaten Path Veggie Crisps/Off The Eaten Chickpeas Made With Real Rice & Real Veggies - 6.25oz (Veggie, 2) is $3.678 per Ounce. The total price is $22.99 for 6.2 Ounce.","NEW Off The Eaten Path Veggie Crisps/Off The Eaten Chickpeas Made With Real Rice & Real Veggies - 6.25oz (Veggie, 2)",22.99,3.6784,6.25,Ounce
What is the price per unit for Dried Light Red Lentil beans by Dasher's Spice & Beans | Masoor Dal | 8 lbs.?,The price per unit for Dried Light Red Lentil beans by Dasher's Spice & Beans | Masoor Dal | 8 lbs. is $0.145 per Ounce. The total price is $18.52 for 128.0 Ounce.,Dried Light Red Lentil beans by Dasher's Spice & Beans | Masoor Dal | 8 lbs.,18.52,0.1447,128.0,Ounce
"What is the price per unit for Bob's Red Mill Medium Cornmeal, Whole Grain Stone Ground, 24 Ounce (Pack of 2)?","The price per unit for Bob's Red Mill Medium Cornmeal, Whole Grain Stone Ground, 24 Ounce (Pack of 2) is $0.418 per Ounce. The total price is $20.07 for 48.0 Ounce.","Bob's Red Mill Medium Cornmeal, Whole Grain Stone Ground, 24 Ounce (Pack of 2)",20.07,0.418,48.0,Ounce
"What is the price per unit for Kashi Cold Breakfast Cereal, Vegan, Made with Whole Grains, Chocolate Waffle Bites, 9.5oz Box (1 Box)?","The price per unit for Kashi Cold Breakfast Cereal, Vegan, Made with Whole Grains, Chocolate Waffle Bites, 9.5oz Box (1 Box) is $1.052 per Ounce. The total price is $9.99 for 9.5 Ounce.","Kashi Cold Breakfast Cereal, Vegan, Made with Whole Grains, Chocolate Waffle Bites, 9.5oz Box (1 Box)",9.99,1.0516,9.5,Ounce
"What is the price per unit for Bigelow Tea Benefits Refresh Turmeric Chili Matcha Keurig K-Cup Pods Green Tea, Caffeinated, 10 Count (Pack of 6), 60 Total K-Cup Pods?","The price per unit for Bigelow Tea Benefits Refresh Turmeric Chili Matcha Keurig K-Cup Pods Green Tea, Caffeinated, 10 Count (Pack of 6), 60 Total K-Cup Pods is $0.167 per count. The total price is $9.99 for 60.0 count.","Bigelow Tea Benefits Refresh Turmeric Chili Matcha Keurig K-Cup Pods Green Tea, Caffeinated, 10 Count (Pack of 6), 60 Total K-Cup Pods",9.99,0.1665,60.0,count
What is the price per unit for Jolly Rancher Singles-to-go Sugar Free Cherry Drink Mix?,The price per unit for Jolly Rancher Singles-to-go Sugar Free Cherry Drink Mix is $0.463 per Count. The total price is $16.65 for 36.0 Count.,Jolly Rancher Singles-to-go Sugar Free Cherry Drink Mix,16.65,0.4625,36.0,Count
"What is the price per unit for Black Walnut Yerba Mate Tea (Loose) (8 oz, ZIN: 547380) - 3 Pack?","The price per unit for Black Walnut Yerba Mate Tea (Loose) (8 oz, ZIN: 547380) - 3 Pack is $3.039 per Ounce. The total price is $72.93 for 24.0 Ounce.","Black Walnut Yerba Mate Tea (Loose) (8 oz, ZIN: 547380) - 3 Pack",72.93,3.0388,24.0,Ounce
"What is the price per unit for RAZZLES Gum Candy - Original, Sour, Tropical - 1.40 Ounce Pouches - First It’s Candy… Then It’s Gum… Assorted Flavors !! (Sour, 6 Count)?","The price per unit for RAZZLES Gum Candy - Original, Sour, Tropical - 1.40 Ounce Pouches - First It’s Candy… Then It’s Gum… Assorted Flavors !! (Sour, 6 Count) is $2.488 per Count. The total price is $14.93 for 6.0 Count.","RAZZLES Gum Candy - Original, Sour, Tropical - 1.40 Ounce Pouches - First It’s Candy… Then It’s Gum… Assorted Flavors !! (Sour, 6 Count)",14.93,2.4883,6.0,Count
"What is the price per unit for Ocean Spray 25900 Cranberry Juice Drink, Cranberry, 32 oz Bottle, 12/Carton?","The price per unit for Ocean Spray 25900 Cranberry Juice Drink, Cranberry, 32 oz Bottle, 12/Carton is $0.169 per Fl Oz. The total price is $64.74 for 384.0 Fl Oz.","Ocean Spray 25900 Cranberry Juice Drink, Cranberry, 32 oz Bottle, 12/Carton",64.74,0.1686,384.0,Fl Oz
"What is the price per unit for Soeos Table Ground Black Pepper, 18 oz (510g) Non-GMO, Freshly Peppercorn Powder Bulk, Packed to Keep Peppers Fresh, Ready to Use Peppercorns for Refill, Regular?","The price per unit for Soeos Table Ground Black Pepper, 18 oz (510g) Non-GMO, Freshly Peppercorn Powder Bulk, Packed to Keep Peppers Fresh, Ready to Use Peppercorns for Refill, Regular is $0.833 per Ounce. The total price is $14.99 for 18.0 Ounce.","Soeos Table Ground Black Pepper, 18 oz (510g) Non-GMO, Freshly Peppercorn Powder Bulk, Packed to Keep Peppers Fresh, Ready to Use Peppercorns for Refill, Regular",14.99,0.8328,18.0,Ounce
"What is the price per unit for Barilla Plus Spaghetti Pasta, 14.5 Ounce -- 20 per case.?","The price per unit for Barilla Plus Spaghetti Pasta, 14.5 Ounce -- 20 per case. is $0.142 per Count. The total price is $2.84 for 20.0 Count.","Barilla Plus Spaghetti Pasta, 14.5 Ounce -- 20 per case.",2.84,0.142,20.0,Count
What is the price per unit for Dole Cherry Mixed Fruit - 16/4 oz.?,The price per unit for Dole Cherry Mixed Fruit - 16/4 oz. is $0.119 per Ounce. The total price is $9.48 for 80.0 Ounce.,Dole Cherry Mixed Fruit - 16/4 oz.,9.48,0.1186,80.0,Ounce
"What is the price per unit for Holy Land Market Holy Water from Jordan River - 200ml with Gift Box & Certificate, Scented with Jerusalem Flowers?","The price per unit for Holy Land Market Holy Water from Jordan River - 200ml with Gift Box & Certificate, Scented with Jerusalem Flowers is $2.250 per Fl Oz. The total price is $15.30 for 6.8 Fl Oz.","Holy Land Market Holy Water from Jordan River - 200ml with Gift Box & Certificate, Scented with Jerusalem Flowers",15.3,2.25,6.8,Fl Oz
"What is the price per unit for Haymaker Coffee, Dark Roast with Full-Bodied Flavor, Ground, 12 Ounce, Roasted in USA?","The price per unit for Haymaker Coffee, Dark Roast with Full-Bodied Flavor, Ground, 12 Ounce, Roasted in USA is $1.249 per Ounce. The total price is $14.99 for 12.0 Ounce.","Haymaker Coffee, Dark Roast with Full-Bodied Flavor, Ground, 12 Ounce, Roasted in USA",14.99,1.2492,12.0,Ounce
"What is the price per unit for Yupik Tuxedo Mix, 6.5 Oz, Chocolatey Bites, Tuxedo Cake Flavor, Blend of Chocolates, Cookies & Cream, Brownie Bites, Chocolate Covered Almonds, Special Treat, Party Snack?","The price per unit for Yupik Tuxedo Mix, 6.5 Oz, Chocolatey Bites, Tuxedo Cake Flavor, Blend of Chocolates, Cookies & Cream, Brownie Bites, Chocolate Covered Almonds, Special Treat, Party Snack is $2.335 per Ounce. The total price is $15.18 for 6.5 Ounce.","Yupik Tuxedo Mix, 6.5 Oz, Chocolatey Bites, Tuxedo Cake Flavor, Blend of Chocolates, Cookies & Cream, Brownie Bites, Chocolate Covered Almonds, Special Treat, Party Snack",15.18,2.3354,6.5,Ounce
"What is the price per unit for St. Dalfour Apricot Fruit Spread - 10oz - 100% from Fruit, No Artificial Ingredients, Non GMO, No Cane Sugars, All Natural, Made in France?","The price per unit for St. Dalfour Apricot Fruit Spread - 10oz - 100% from Fruit, No Artificial Ingredients, Non GMO, No Cane Sugars, All Natural, Made in France is $0.574 per Ounce. The total price is $5.74 for 10.0 Ounce.","St. Dalfour Apricot Fruit Spread - 10oz - 100% from Fruit, No Artificial Ingredients, Non GMO, No Cane Sugars, All Natural, Made in France",5.74,0.574,10.0,Ounce
"What is the price per unit for Munchies Sandwich Crackers, Ruffles Cheddar & Sour Cream, Pack of 8?","The price per unit for Munchies Sandwich Crackers, Ruffles Cheddar & Sour Cream, Pack of 8 is $0.306 per Ounce. The total price is $3.38 for 11.0 Ounce.","Munchies Sandwich Crackers, Ruffles Cheddar & Sour Cream, Pack of 8",3.38,0.3062,11.04,Ounce
"What is the price per unit for Food For Life, Cereal Ezekiel 49 Almond Organic, 16 Ounce?","The price per unit for Food For Life, Cereal Ezekiel 49 Almond Organic, 16 Ounce is $0.631 per Ounce. The total price is $10.10 for 16.0 Ounce.","Food For Life, Cereal Ezekiel 49 Almond Organic, 16 Ounce",10.1,0.6312,16.0,Ounce
"What is the price per unit for Cameron's Coffee Single Serve Pods, Intense French, 12 Count (Pack of 1)?","The price per unit for Cameron's Coffee Single Serve Pods, Intense French, 12 Count (Pack of 1) is $1.249 per Count. The total price is $14.99 for 12.0 Count.","Cameron's Coffee Single Serve Pods, Intense French, 12 Count (Pack of 1)",14.99,1.2492,12.0,Count
"What is the price per unit for Lindsay California Ripe Pitted Large Olives, 6 Ounce?","The price per unit for Lindsay California Ripe Pitted Large Olives, 6 Ounce is $0.420 per Fl Oz. The total price is $2.52 for 6.0 Fl Oz.","Lindsay California Ripe Pitted Large Olives, 6 Ounce",2.52,0.42,6.0,Fl Oz
What is the price per unit for Pure Prot Choc Pbttr Crm Size 6ct Pure Protein Choc Pbttr Crmel 1.76z?,The price per unit for Pure Prot Choc Pbttr Crm Size 6ct Pure Protein Choc Pbttr Crmel 1.76z is $2.667 per Count. The total price is $16.00 for 6.0 Count.,Pure Prot Choc Pbttr Crm Size 6ct Pure Protein Choc Pbttr Crmel 1.76z,16.0,2.6667,6.0,Count
What is the price per unit for Sweet Street Chewy Marshmallow Manifesto Bar (8 Count)?,The price per unit for Sweet Street Chewy Marshmallow Manifesto Bar (8 Count) is $43.210 per Count. The total price is $43.21 for 1.0 Count.,Sweet Street Chewy Marshmallow Manifesto Bar (8 Count),43.21,43.21,1.0,Count
"What is the price per unit for Ken’s Steakhouse Dressing, Sweet Vidalia Onion Dressing, Gluten Free Dressing for Salads or Spreads, 16 Fl OZ Bottle (Pack of 6)?","The price per unit for Ken’s Steakhouse Dressing, Sweet Vidalia Onion Dressing, Gluten Free Dressing for Salads or Spreads, 16 Fl OZ Bottle (Pack of 6) is $0.227 per Ounce. The total price is $21.76 for 96.0 Ounce.","Ken’s Steakhouse Dressing, Sweet Vidalia Onion Dressing, Gluten Free Dressing for Salads or Spreads, 16 Fl OZ Bottle (Pack of 6)",21.76,0.2267,96.0,Ounce
"What is the price per unit for SNACK,STACK,PRINGLES,18 CT?","The price per unit for SNACK,STACK,PRINGLES,18 CT is $1.701 per Ounce. The total price is $21.59 for 12.7 Ounce.","SNACK,STACK,PRINGLES,18 CT",21.59,1.7013,12.69,Ounce
What is the price per unit for Dryv Energy Pouches - 5 Pack Vanilla Pouches?,The price per unit for Dryv Energy Pouches - 5 Pack Vanilla Pouches is $8.959 per Ounce. The total price is $21.95 for 2.5 Ounce.,Dryv Energy Pouches - 5 Pack Vanilla Pouches,21.95,8.9592,2.45,Ounce
"What is the price per unit for SIMPLY ORGANIC Organic Mini Ground Cinnamon, 0.67 OZ?","The price per unit for SIMPLY ORGANIC Organic Mini Ground Cinnamon, 0.67 OZ is $5.925 per Ounce. The total price is $3.97 for 0.7 Ounce.","SIMPLY ORGANIC Organic Mini Ground Cinnamon, 0.67 OZ",3.97,5.9254,0.67,Ounce
"What is the price per unit for Twinings Berry Fusion Herbal Tea - Naturally Sweet and Juicy Caffeine-Free Tea Bags Individually Wrapped, 20 Count?","The price per unit for Twinings Berry Fusion Herbal Tea - Naturally Sweet and Juicy Caffeine-Free Tea Bags Individually Wrapped, 20 Count is $7.240 per Count. The total price is $7.24 for 1.0 Count.","Twinings Berry Fusion Herbal Tea - Naturally Sweet and Juicy Caffeine-Free Tea Bags Individually Wrapped, 20 Count",7.24,7.24,1.0,Count
"What is the price per unit for Snyder's of Hanover, Seasoned Twisted Pretzel Sticks, 18 Oz Party Size Bag?","The price per unit for Snyder's of Hanover, Seasoned Twisted Pretzel Sticks, 18 Oz Party Size Bag is $0.266 per Ounce. The total price is $4.79 for 18.0 Ounce.","Snyder's of Hanover, Seasoned Twisted Pretzel Sticks, 18 Oz Party Size Bag",4.79,0.2661,18.0,Ounce
"What is the price per unit for DaVinci Gourmet Sugar-Free Peanut Butter Syrup, 25.4 Fluid Ounces (Pack of 1)?","The price per unit for DaVinci Gourmet Sugar-Free Peanut Butter Syrup, 25.4 Fluid Ounces (Pack of 1) is $0.506 per Fl Oz. The total price is $12.85 for 25.4 Fl Oz.","DaVinci Gourmet Sugar-Free Peanut Butter Syrup, 25.4 Fluid Ounces (Pack of 1)",12.85,0.5059,25.4,Fl Oz
"What is the price per unit for Gamesa Cookies Populares, 31.7-Ounce (Pack of 6)?","The price per unit for Gamesa Cookies Populares, 31.7-Ounce (Pack of 6) is $0.060 per Ounce. The total price is $11.48 for 190.0 Ounce.","Gamesa Cookies Populares, 31.7-Ounce (Pack of 6)",11.48,0.0604,190.0,Ounce
"What is the price per unit for Utz BBQ Ripple Potato Chips, 7.75 Oz?","The price per unit for Utz BBQ Ripple Potato Chips, 7.75 Oz is $0.489 per Ounce. The total price is $3.79 for 7.8 Ounce.","Utz BBQ Ripple Potato Chips, 7.75 Oz",3.79,0.489,7.75,Ounce
What is the price per unit for White Mountain Puzzles I Love Breakfast - 1000 Piece Jigsaw Puzzle?,The price per unit for White Mountain Puzzles I Love Breakfast - 1000 Piece Jigsaw Puzzle is $31.380 per Count. The total price is $31.38 for 1.0 Count.,White Mountain Puzzles I Love Breakfast - 1000 Piece Jigsaw Puzzle,31.38,31.38,1.0,Count
"What is the price per unit for Hidden Valley Original Ranch Dressing & Ranch Dip Packets, 1.5 oz (84 Pack)?","The price per unit for Hidden Valley Original Ranch Dressing & Ranch Dip Packets, 1.5 oz (84 Pack) is $0.339 per Ounce. The total price is $42.65 for 126.0 Ounce.","Hidden Valley Original Ranch Dressing & Ranch Dip Packets, 1.5 oz (84 Pack)",42.65,0.3385,126.0,Ounce
"What is the price per unit for Starbucks, Medium Roast, Decaf House Blend, Ground Coffee 12oz Bag (Pack of 2)?","The price per unit for Starbucks, Medium Roast, Decaf House Blend, Ground Coffee 12oz Bag (Pack of 2) is $0.414 per Ounce. The total price is $9.94 for 24.0 Ounce.","Starbucks, Medium Roast, Decaf House Blend, Ground Coffee 12oz Bag (Pack of 2)",9.94,0.4142,24.0,Ounce
"What is the price per unit for Morton & Bassett Basil, All Natural, Kosher, MSG Free, Gluten Free & Non-GMO, 0.4 Ounce (Pack of 3)?","The price per unit for Morton & Bassett Basil, All Natural, Kosher, MSG Free, Gluten Free & Non-GMO, 0.4 Ounce (Pack of 3) is $6.658 per Ounce. The total price is $7.99 for 1.2 Ounce.","Morton & Bassett Basil, All Natural, Kosher, MSG Free, Gluten Free & Non-GMO, 0.4 Ounce (Pack of 3)",7.99,6.6583,1.2,Ounce
What is the price per unit for E​l Pato Hot Tomato Sauce 28 oz (Pack of 12)?,The price per unit for E​l Pato Hot Tomato Sauce 28 oz (Pack of 12) is $7.332 per Ounce. The total price is $87.99 for 12.0 Ounce.,E​l Pato Hot Tomato Sauce 28 oz (Pack of 12),87.99,7.3325,12.0,Ounce
"What is the price per unit for Mulled Spice Dandelion Root Tea (50 tea bags, ZIN: 554907) - 2 Pack?","The price per unit for Mulled Spice Dandelion Root Tea (50 tea bags, ZIN: 554907) - 2 Pack is $0.543 per Count. The total price is $54.27 for 100.0 Count.","Mulled Spice Dandelion Root Tea (50 tea bags, ZIN: 554907) - 2 Pack",54.27,0.5427,100.0,Count
"What is the price per unit for Seitenbacher Low Sugar Muesli Natural Cereal, 16 Ounce?","The price per unit for Seitenbacher Low Sugar Muesli Natural Cereal, 16 Ounce is $0.712 per ounce. The total price is $11.38 for 16.0 ounce.","Seitenbacher Low Sugar Muesli Natural Cereal, 16 Ounce",11.38,0.7116,16.0,ounce
"What is the price per unit for Bergin Fruit and Nut Company Plantain Chips, 3.5 oz (99 g)?","The price per unit for Bergin Fruit and Nut Company Plantain Chips, 3.5 oz (99 g) is $3.310 per Ounce. The total price is $3.31 for 1.0 Ounce.","Bergin Fruit and Nut Company Plantain Chips, 3.5 oz (99 g)",3.31,3.31,1.0,Ounce
"What is the price per unit for Koppers Chocolate Covered Espresso Beans NY Blend, Assorted Coffee Flavors, Cream, Cappuccino, Milk and Dark Chocolate, 4 Ounce?","The price per unit for Koppers Chocolate Covered Espresso Beans NY Blend, Assorted Coffee Flavors, Cream, Cappuccino, Milk and Dark Chocolate, 4 Ounce is $2.985 per Ounce. The total price is $11.94 for 4.0 Ounce.","Koppers Chocolate Covered Espresso Beans NY Blend, Assorted Coffee Flavors, Cream, Cappuccino, Milk and Dark Chocolate, 4 Ounce",11.94,2.985,4.0,Ounce
"What is the price per unit for Sesmark, Sesame Rice Thins, 4.25 oz?","The price per unit for Sesmark, Sesame Rice Thins, 4.25 oz is $0.868 per Ounce. The total price is $3.69 for 4.2 Ounce.","Sesmark, Sesame Rice Thins, 4.25 oz",3.69,0.8682,4.25,Ounce
What is the price per unit for Cookie and Brownie Gift Crate?,The price per unit for Cookie and Brownie Gift Crate is $29.960 per Count. The total price is $29.96 for 1.0 Count.,Cookie and Brownie Gift Crate,29.96,29.96,1.0,Count
"What is the price per unit for McCormick Gourmet Organic Dill Seed, 1 oz?","The price per unit for McCormick Gourmet Organic Dill Seed, 1 oz is $6.750 per Ounce. The total price is $6.75 for 1.0 Ounce.","McCormick Gourmet Organic Dill Seed, 1 oz",6.75,6.75,1.0,Ounce
"What is the price per unit for G Hughes Sugar Free Asian Miso Dressing - Asian Salad Dressings, Asian Dressings, Gluten Free Salad Dressings, Miso Salad Dressing - 12 Oz. (3-Pack)?","The price per unit for G Hughes Sugar Free Asian Miso Dressing - Asian Salad Dressings, Asian Dressings, Gluten Free Salad Dressings, Miso Salad Dressing - 12 Oz. (3-Pack) is $0.611 per Ounce. The total price is $21.99 for 36.0 Ounce.","G Hughes Sugar Free Asian Miso Dressing - Asian Salad Dressings, Asian Dressings, Gluten Free Salad Dressings, Miso Salad Dressing - 12 Oz. (3-Pack)",21.99,0.6108,36.0,Ounce
What is the price per unit for Swissmar Cheese Cleaver?,The price per unit for Swissmar Cheese Cleaver is $40.960 per Count. The total price is $40.96 for 1.0 Count.,Swissmar Cheese Cleaver,40.96,40.96,1.0,Count
What is the price per unit for Trader Joe's Coconut Flavored Almonds (Pack of 2)?,The price per unit for Trader Joe's Coconut Flavored Almonds (Pack of 2) is $1.216 per Ounce. The total price is $19.45 for 16.0 Ounce.,Trader Joe's Coconut Flavored Almonds (Pack of 2),19.45,1.2156,16.0,Ounce
"What is the price per unit for Hazelnut Cream Coffee, 72 Count, Medium Roast Gourmet Flavored Coffee Pods, Compatible With All Keurig K-cup Brewers?","The price per unit for Hazelnut Cream Coffee, 72 Count, Medium Roast Gourmet Flavored Coffee Pods, Compatible With All Keurig K-cup Brewers is $0.486 per Count. The total price is $34.98 for 72.0 Count.","Hazelnut Cream Coffee, 72 Count, Medium Roast Gourmet Flavored Coffee Pods, Compatible With All Keurig K-cup Brewers",34.98,0.4858,72.0,Count
What is the price per unit for Comstock More Fruit Apple Filling - 21 oz?,The price per unit for Comstock More Fruit Apple Filling - 21 oz is $0.161 per Fl Oz. The total price is $3.38 for 21.0 Fl Oz.,Comstock More Fruit Apple Filling - 21 oz,3.38,0.161,21.0,Fl Oz
What is the price per unit for Starbucks K-Cup Coffee Pods—Dark Roast Coffee—Caffè Verona for Keurig Brewers—100% Arabica—4 boxes (96 pods total)?,The price per unit for Starbucks K-Cup Coffee Pods—Dark Roast Coffee—Caffè Verona for Keurig Brewers—100% Arabica—4 boxes (96 pods total) is $0.236 per Count. The total price is $22.65 for 96.0 Count.,Starbucks K-Cup Coffee Pods—Dark Roast Coffee—Caffè Verona for Keurig Brewers—100% Arabica—4 boxes (96 pods total),22.65,0.2359,96.0,Count
